feature_name,train_dataset,train_dataset_label,eval_dataset,eval_dataset_label,layer,base_train_size,extra_train_size,train_size,lr_eval_acc,wlr_eval_acc,mm_eval_acc,wmm_eval_acc,whitener_cov_reg_condition_number
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",0,800,0,800,0.9,0.5368421052631579,0.7263157894736842,0.5421052631578948,7056.509628734786
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",1,800,0,800,0.9,0.531578947368421,0.9,0.5526315789473685,6712.989940299203
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",2,800,0,800,0.9052631578947369,0.5578947368421052,0.531578947368421,0.6473684210526316,6140.408771912318
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",3,800,0,800,0.9210526315789473,0.4789473684210526,0.7526315789473684,0.5263157894736842,6004.942191038456
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",4,800,0,800,0.9263157894736842,0.5210526315789473,0.8631578947368421,0.6631578947368421,6577.349532147515
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",5,800,0,800,0.9263157894736842,0.5157894736842106,0.8315789473684211,0.7105263157894737,7133.3219787051885
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",6,800,0,800,0.8947368421052632,0.49473684210526314,0.7736842105263158,0.6473684210526316,7312.640819226528
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",7,800,0,800,0.868421052631579,0.5263157894736842,0.8421052631578947,0.6684210526315789,6914.561808418153
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",8,800,0,800,0.8631578947368421,0.45263157894736844,0.6684210526315789,0.6263157894736842,6367.969766681873
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",9,800,0,800,0.9,0.5684210526315789,0.5473684210526316,0.6894736842105263,5457.287753593806
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",10,800,0,800,0.8526315789473684,0.6684210526315789,0.5157894736842106,0.7736842105263158,4703.344281251519
mean_answer_tokens,explicit_train_only,explicit train only,20260322-090107,"March 22, 2026 red-team (20260322-090107)",11,800,0,800,0.8368421052631579,0.7947368421052632,0.5157894736842106,0.8578947368421053,68778.678775329
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",0,800,190,990,1.0,1.0,0.8421052631578947,0.9947368421052631,12638.847250610212
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",1,800,190,990,1.0,1.0,0.9421052631578948,1.0,11599.31263050845
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",2,800,190,990,1.0,1.0,0.5684210526315789,1.0,9610.31234942962
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",3,800,190,990,1.0,1.0,0.9263157894736842,1.0,8377.113228884176
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",4,800,190,990,1.0,1.0,0.9263157894736842,1.0,9110.385916614297
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",5,800,190,990,1.0,1.0,0.8526315789473684,1.0,8172.318052783377
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",6,800,190,990,1.0,1.0,0.8842105263157894,1.0,9600.473902367063
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",7,800,190,990,1.0,1.0,0.8263157894736842,1.0,8945.111205177715
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",8,800,190,990,1.0,1.0,0.8894736842105263,1.0,10443.44783486057
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",9,800,190,990,1.0,1.0,0.5789473684210527,1.0,9704.227955884326
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",10,800,190,990,1.0,1.0,0.5157894736842106,1.0,9595.887883723657
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",11,800,190,990,1.0,1.0,0.5157894736842106,0.9789473684210527,64302.23619155339
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",0,800,390,1190,1.0,1.0,0.868421052631579,0.9894736842105263,13616.216578529371
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",1,800,390,1190,1.0,1.0,0.9421052631578948,1.0,12457.35248379576
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",2,800,390,1190,1.0,1.0,0.7052631578947368,1.0,10296.464191207977
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",3,800,390,1190,1.0,1.0,0.9368421052631579,1.0,9064.094786295158
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",4,800,390,1190,1.0,1.0,0.9157894736842105,1.0,10023.7103169575
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",5,800,390,1190,1.0,1.0,0.8842105263157894,1.0,9126.677888445322
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",6,800,390,1190,1.0,1.0,0.8736842105263158,1.0,10412.412315695867
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",7,800,390,1190,1.0,1.0,0.8736842105263158,1.0,9613.358833133545
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",8,800,390,1190,1.0,1.0,0.868421052631579,1.0,11143.92856508439
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",9,800,390,1190,1.0,1.0,0.6578947368421053,1.0,10268.860468788629
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",10,800,390,1190,1.0,1.0,0.5157894736842106,1.0,9894.927743118275
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260322-090107,"March 22, 2026 red-team (20260322-090107)",11,800,390,1190,1.0,1.0,0.5157894736842106,0.9631578947368421,64132.70948988986
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",0,800,0,800,0.8,0.565,0.745,0.63,7056.509628734786
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",1,800,0,800,0.845,0.58,0.785,0.655,6712.989940299203
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",2,800,0,800,0.835,0.58,0.6,0.655,6140.408771912318
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",3,800,0,800,0.795,0.685,0.79,0.725,6004.942191038456
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",4,800,0,800,0.8,0.71,0.78,0.705,6577.349532147515
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",5,800,0,800,0.835,0.6,0.645,0.69,7133.3219787051885
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",6,800,0,800,0.825,0.635,0.795,0.67,7312.640819226528
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",7,800,0,800,0.8,0.675,0.675,0.705,6914.561808418153
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",8,800,0,800,0.815,0.5,0.655,0.645,6367.969766681873
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",9,800,0,800,0.77,0.62,0.525,0.72,5457.287753593806
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",10,800,0,800,0.74,0.665,0.495,0.755,4703.344281251519
mean_answer_tokens,explicit_train_only,explicit train only,20260403-183445,"April 3, 2026 red-team (20260403-183445)",11,800,0,800,0.745,0.755,0.495,0.735,68778.678775329
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",0,800,190,990,0.805,0.65,0.79,0.71,12638.847250610212
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",1,800,190,990,0.805,0.605,0.8,0.715,11599.31263050845
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",2,800,190,990,0.805,0.705,0.605,0.745,9610.31234942962
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",3,800,190,990,0.86,0.755,0.81,0.84,8377.113228884176
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",4,800,190,990,0.84,0.745,0.805,0.805,9110.385916614297
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",5,800,190,990,0.85,0.72,0.665,0.8,8172.318052783377
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",6,800,190,990,0.835,0.695,0.72,0.77,9600.473902367063
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",7,800,190,990,0.815,0.67,0.67,0.755,8945.111205177715
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",8,800,190,990,0.81,0.685,0.63,0.745,10443.44783486057
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",9,800,190,990,0.77,0.705,0.495,0.765,9704.227955884326
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",10,800,190,990,0.755,0.68,0.495,0.745,9595.887883723657
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107,+ March 22 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",11,800,190,990,0.735,0.725,0.495,0.725,64302.23619155339
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",0,800,390,1190,1.0,1.0,0.82,0.99,13616.216578529371
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",1,800,390,1190,1.0,1.0,0.845,0.99,12457.35248379576
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",2,800,390,1190,1.0,1.0,0.745,1.0,10296.464191207977
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",3,800,390,1190,1.0,1.0,0.865,1.0,9064.094786295158
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",4,800,390,1190,1.0,1.0,0.875,0.995,10023.7103169575
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",5,800,390,1190,1.0,1.0,0.79,0.995,9126.677888445322
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",6,800,390,1190,1.0,1.0,0.765,0.995,10412.412315695867
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",7,800,390,1190,1.0,1.0,0.835,1.0,9613.358833133545
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",8,800,390,1190,1.0,1.0,0.69,1.0,11143.92856508439
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",9,800,390,1190,1.0,1.0,0.555,1.0,10268.860468788629
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",10,800,390,1190,1.0,1.0,0.495,1.0,9894.927743118275
mean_answer_tokens,explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,+ March 22 + April 3 red-team,20260403-183445,"April 3, 2026 red-team (20260403-183445)",11,800,390,1190,1.0,1.0,0.495,0.95,64132.70948988986
